title,text,label
Government publishes audited health budget,"The finance ministry released a verified budget report reviewed by independent auditors and national media outlets.",REAL
Scientists confirm new climate measurements,"Researchers from multiple universities published peer reviewed findings with open data and clear methodology.",REAL
Court releases official election ruling,"The court published a signed judgment clarifying the dispute and confirming the final certified result.",REAL
City opens flood relief shelters,"Local authorities announced emergency shelter locations and support services through official channels.",REAL
University shares scholarship update,"The university registrar posted an official notice with deadlines, eligibility rules, and application steps.",REAL
Hospital expands vaccination program,"Doctors and public agencies confirmed the rollout schedule and supply chain details in a joint briefing.",REAL
Central bank issues policy statement,"The bank released an official inflation update supported by economic indicators and public records.",REAL
Transport department launches safety campaign,"Officials published enforcement plans and safety guidance after reviewing recent accident data.",REAL
International agency reports food aid delivery,"Inspectors documented shipment arrivals, distribution numbers, and partner organizations on record.",REAL
Police publish missing person update,"Authorities shared verified details, contact numbers, and case references in a public bulletin.",REAL
Celebrity adopts alien technology to cure aging,"Anonymous blogs claim a secret anti aging device from outer space was hidden inside a private mansion.",FAKE
Government hiding gold under every school,"A viral post says classrooms were built over treasure vaults but provides no documents or credible evidence.",FAKE
Miracle herb makes people invisible instantly,"Unverified websites promote a mysterious leaf that supposedly makes users disappear within seconds.",FAKE
Secret moon treaty controls world weather,"A fabricated article claims world leaders signed a hidden lunar agreement to create storms on demand.",FAKE
Drinking silver paint prevents all diseases,"A misleading social media thread falsely promises total immunity through a dangerous homemade mixture.",FAKE
Ancient statue predicts stock market crashes,"Sensational headlines say a museum artifact can forecast every economic downturn without any proof.",FAKE
Hidden chips found inside all vegetables,"A conspiracy website alleges farms are implanting tracking devices into produce sold at supermarkets.",FAKE
Ocean water cures every exam failure,"A satirical sounding rumor says students only need bottled seawater to improve intelligence overnight.",FAKE
Secret society controls sunrise times,"A fake article claims an underground organization changes daylight schedules for political manipulation.",FAKE
Minister replaced by identical robot double,"An unreliable source says a public official was swapped with a machine after a closed door meeting.",FAKE
